column,dtype,kind,missing_count,missing_pct,nonfinite_count,placeholder_count,unique_nonmissing
Q6_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q6_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99412
Q6_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q6_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99414
Q6_NET_INCOME,float64,numeric,0,0.0,0,0,99412
Q6_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99412
Q6_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99412
Q6_REVENUES,float64,numeric,0,0.0,0,0,99414
Q6_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99412
Q6_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q6_EBITDA,float64,numeric,0,0.0,0,0,99414
Q6_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,92897
Q6_fiscal_year_end,float64,numeric,0,0.0,0,0,4
Q7_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99061
Q7_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99187
Q7_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99060
Q7_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99187
Q7_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99187
Q7_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99186
Q7_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99188
Q7_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99188
Q7_NET_INCOME,float64,numeric,0,0.0,0,0,98875
Q7_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99187
Q7_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99085
Q7_REVENUES,float64,numeric,0,0.0,0,0,99086
Q7_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99121
Q7_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99188
Q7_EBITDA,float64,numeric,0,0.0,0,0,99187
Q7_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,95528
Q7_fiscal_year_end,float64,numeric,0,0.0,0,0,4667
Q8_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q8_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99413
Q8_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99412
Q8_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q8_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q8_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99416
Q8_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q8_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99413
Q8_NET_INCOME,float64,numeric,0,0.0,0,0,99414
Q8_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99414
Q8_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99412
Q8_REVENUES,float64,numeric,0,0.0,0,0,99414
Q8_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99414
Q8_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q8_EBITDA,float64,numeric,0,0.0,0,0,99414
Q8_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,94349
Q8_fiscal_year_end,float64,numeric,0,0.0,0,0,137
Q9_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99414
Q9_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99412
Q9_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99412
Q9_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q9_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q9_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99414
Q9_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99414
Q9_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99412
Q9_NET_INCOME,float64,numeric,0,0.0,0,0,99414
Q9_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99414
Q9_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,99412
Q9_REVENUES,float64,numeric,0,0.0,0,0,99414
Q9_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99414
Q9_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99414
Q9_EBITDA,float64,numeric,0,0.0,0,0,99414
Q9_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,93336
Q9_fiscal_year_end,float64,numeric,0,0.0,0,0,264
Q10_TOTAL_ASSETS,float64,numeric,0,0.0,0,0,99002
Q10_TOTAL_CURRENT_ASSETS,float64,numeric,0,0.0,0,0,99001
Q10_TOTAL_NONCURRENT_ASSETS,float64,numeric,0,0.0,0,0,99000
Q10_TOTAL_LIABILITIES,float64,numeric,0,0.0,0,0,99002
Q10_TOTAL_CURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99002
Q10_TOTAL_NONCURRENT_LIABILITIES,float64,numeric,0,0.0,0,0,99002
Q10_TOTAL_LIABILITIES_AND_EQUITY,float64,numeric,0,0.0,0,0,99003
Q10_TOTAL_STOCKHOLDERS_EQUITY,float64,numeric,0,0.0,0,0,99002
Q10_NET_INCOME,float64,numeric,0,0.0,0,0,99002
Q10_GROSS_PROFIT,float64,numeric,0,0.0,0,0,99002
Q10_COST_OF_REVENUES,float64,numeric,0,0.0,0,0,98842
Q10_REVENUES,float64,numeric,0,0.0,0,0,98842
Q10_OPERATING_INCOME,float64,numeric,0,0.0,0,0,99004
Q10_OPERATING_EXPENSES,float64,numeric,0,0.0,0,0,99002
Q10_EBITDA,float64,numeric,0,0.0,0,0,99003
Q10_DEPRECIATION_AND_AMORTIZATION,float64,numeric,0,0.0,0,0,91489
Q10_fiscal_year_end,float64,numeric,0,0.0,0,0,515
trailingEY,float64,numeric,0,0.0,0,0,88300
forwardEY,float64,numeric,0,0.0,0,0,95037
industry,object,categorical,0,0.0,0,1344,114
sector,object,categorical,0,0.0,0,1344,10
financialCurrency,object,categorical,0,0.0,0,1232,3
recommendationKey,object,categorical,0,0.0,0,1232,7
Id,int64,id,0,0.0,0,0,100000
