Id,split
44349,train
57227,validation
76417,train
155803,train
115410,train
125736,validation
148766,train
181241,train
32533,train
8636,validation
44393,train
104317,train
82562,train
20270,train
85103,validation
168395,validation
196167,validation
160242,train
100113,train
42667,validation
75964,train
3790,train
43985,train
174273,train
177275,train
82520,train
28203,train
163261,train
77346,train
13303,train
106484,train
183295,train
135501,train
141463,train
65645,validation
130494,train
82663,train
9273,train
190925,train
160671,train
33473,train
176574,train
90423,validation
183519,train
113358,train
55732,train
51191,validation
5061,train
61959,train
78884,train
146086,train
178400,train
31341,train
170980,train
39120,train
162258,validation
69330,train
141135,train
169018,validation
39906,validation
176475,train
137150,train
10950,train
157138,train
107260,train
177933,train
115386,train
184743,train
24464,train
13229,train
8251,train
48448,train
16388,validation
18801,validation
56209,train
175569,train
86377,train
45093,validation
37292,train
43414,train
97141,validation
93856,train
37473,train
90218,validation
97744,train
27076,train
163794,train
151791,train
183062,train
179402,train
80522,validation
170464,train
91643,train
133380,validation
125837,train
148948,train
20423,validation
20499,train
63384,validation
93393,train
169564,train
147295,train
116095,validation
105,train
59776,train
145064,train
140295,train
26860,train
160223,train
59341,validation
76981,validation
179436,train
129940,validation
135000,train
105750,validation
196255,train
85353,train
113471,train
94763,train
115663,train
11465,validation
85768,train
167792,train
150971,validation
103489,train
116923,train
55372,train
159515,validation
92690,train
23683,train
3969,validation
173641,train
50259,train
123994,train
38693,train
6417,validation
3475,train
124149,train
176474,validation
37392,train
14943,validation
183002,validation
115805,train
109175,train
56110,train
143499,train
29173,train
51190,train
90658,validation
34330,train
11785,train
85791,train
138601,validation
35190,train
115019,train
9537,validation
16403,train
62699,train
34377,train
51102,train
21614,validation
143279,validation
198305,train
38966,train
167289,train
87133,train
195778,train
163257,train
189340,train
156563,train
154713,train
16528,train
15901,validation
184934,train
108588,train
38510,train
19359,train
115103,train
59826,train
178002,train
103584,train
105705,train
15917,train
55108,train
16077,train
20835,validation
124068,train
197028,train
129927,train
146379,train
69081,train
122637,train
155333,train
96990,train
145171,train
169542,train
72403,train
92646,train
56749,train
172218,validation
196074,validation
164878,train
69874,train
147387,train
8934,train
34971,train
130351,train
73663,train
77975,validation
170275,validation
27339,train
144506,validation
103728,train
180274,train
196010,validation
109754,train
97056,train
100088,validation
135574,validation
12333,train
129271,train
147467,validation
178064,train
83753,train
25764,train
125611,train
92990,validation
183477,train
54284,train
74452,train
94956,train
8044,train
17622,train
54,train
105967,validation
126122,train
190332,train
182955,validation
59650,train
16200,train
42454,train
50929,train
11338,train
124339,train
146508,train
179723,train
151742,train
13082,train
158731,validation
122499,train
92528,validation
58888,train
193554,validation
538,train
95758,validation
148345,train
128641,train
191088,train
138726,train
29071,train
130230,validation
188017,train
169744,train
182949,train
46935,validation
99350,train
10321,validation
153966,train
32142,validation
186282,train
194696,train
141747,train
109506,train
45630,train
10439,train
148162,train
20949,train
19681,train
145667,train
112225,train
138946,train
68607,train
98246,train
3328,validation
63306,train
31153,train
182049,train
158465,validation
37779,validation
198051,train
126298,train
182290,validation
195989,train
8785,train
198401,train
108711,train
33059,train
150359,train
11209,validation
27394,train
127905,train
98402,train
118217,train
110423,train
14362,train
133733,validation
92945,train
175310,train
194095,validation
180443,validation
192090,validation
33370,train
102198,train
47569,train
14409,train
143792,train
17415,train
118819,validation
175558,train
16426,train
132735,train
194547,train
143719,train
141484,train
118485,train
96021,validation
136742,validation
20572,train
157276,train
121050,train
182528,train
57070,validation
78014,train
80541,train
29621,validation
47603,train
18017,train
177164,validation
76204,train
80386,train
115825,train
19699,train
186995,train
18121,train
142755,validation
95351,train
126070,train
59117,train
121683,validation
7673,train
155273,train
32009,train
59450,validation
183896,train
58191,validation
33371,train
59010,train
145595,train
46126,train
166253,train
184777,train
89656,train
110823,train
37119,train
57008,train
94545,train
22618,train
174296,train
4184,train
186809,train
173203,train
160262,train
110033,train
79920,train
92386,train
83523,train
91838,train
197073,train
91196,train
76243,train
82185,train
156689,train
194284,train
195253,train
173241,train
158526,train
14528,train
138565,train
138572,validation
139360,train
141741,train
69744,train
130885,validation
180448,train
138046,validation
163984,validation
138389,train
132085,train
68915,train
29910,train
16398,train
35638,train
131595,train
86115,train
106559,train
56337,train
24724,train
61629,train
137806,train
103021,validation
148287,train
181945,validation
31148,train
100287,validation
75803,train
150848,train
189288,train
37662,train
90235,validation
180782,train
107844,validation
20237,train
63906,train
110177,train
138341,validation
44256,train
166530,validation
18591,train
114867,train
23908,validation
36549,train
90664,train
148946,train
149412,train
193769,train
189100,train
119430,train
119254,train
142837,validation
107397,validation
82800,validation
89890,train
163140,train
145502,validation
123284,train
189105,train
186898,train
113906,train
122159,validation
26878,train
63355,train
168040,train
122987,train
31678,train
196633,train
38633,train
72214,validation
34575,validation
3087,train
190147,train
176681,train
62121,train
153036,train
148621,train
137508,train
93974,train
125325,train
42811,validation
58697,train
21995,validation
62411,train
95671,train
2763,train
127675,train
52341,validation
65387,train
58135,train
22571,train
158532,validation
122071,train
103679,train
133253,train
104662,train
107123,train
161472,train
193220,train
174325,train
42591,train
75556,validation
180110,train
33793,train
105727,train
67061,validation
20221,train
67037,train
66204,train
36065,train
136312,train
132803,validation
130085,train
140002,train
24719,train
1606,validation
43600,train
70442,train
7336,train
164095,train
172463,validation
107699,train
55360,validation
94137,train
194235,train
8548,validation
60205,train
61611,train
161660,train
4054,validation
22700,train
184259,train
179821,validation
162594,train
97136,train
176789,validation
151711,train
33597,train
1382,train
40336,train
70863,train
133768,train
138302,train
123471,train
119626,train
170422,validation
13412,validation
195326,train
75768,train
61710,train
151678,train
33848,validation
47426,train
56565,train
113482,train
102098,train
160958,train
179580,train
50508,train
95212,train
23830,train
151877,train
36158,train
92750,train
43706,train
142663,train
96881,train
18109,train
177568,train
57627,validation
145891,validation
172475,train
157182,validation
35931,train
13783,train
106795,validation
2105,train
39681,validation
131737,train
45846,train
42119,train
197015,train
123452,validation
3251,train
110479,train
115495,train
188612,train
85108,validation
51034,train
178809,train
1560,train
77764,train
126348,train
24104,train
176411,train
164515,train
195501,train
75217,validation
24566,validation
80999,train
185738,train
29690,train
166549,validation
8647,validation
172548,validation
60870,train
26083,validation
148166,train
28730,train
111805,validation
50286,train
23746,train
179953,validation
123343,validation
39491,validation
163274,validation
10865,validation
192578,train
84463,train
49579,train
49665,train
146610,train
59046,train
130692,train
192641,train
137988,train
11427,train
121056,train
182439,validation
35208,validation
184389,train
3860,train
3621,train
40450,train
188827,validation
73292,validation
128976,train
93143,train
121176,validation
3598,train
865,train
132336,train
76301,train
72503,train
60273,train
179593,validation
21650,train
17746,train
89336,train
190246,train
138014,train
150928,train
91723,validation
155633,train
41506,train
131849,train
54633,train
182405,train
53950,train
138067,train
168682,train
197401,train
178088,train
188006,train
170241,train
177333,train
146792,train
118379,validation
17293,train
54950,train
32236,train
147752,validation
136839,train
134104,train
124601,validation
8217,train
149803,train
139962,train
152795,train
42749,train
194919,train
171481,validation
150772,train
178764,train
159000,train
189844,train
54674,train
197160,train
61675,train
47540,validation
104797,validation
26353,train
135524,validation
66771,train
188877,validation
199910,train
40080,train
190934,train
31184,train
86103,train
141433,train
2540,train
70466,validation
4688,validation
62601,train
72631,train
185817,validation
106491,train
22089,validation
112441,validation
138020,train
77803,train
23860,train
38218,train
59616,train
53114,train
20019,train
34851,train
126739,train
40291,validation
85903,train
116005,train
13789,train
75785,train
166759,train
47352,train
35342,validation
6501,validation
126221,train
29391,train
169806,train
99766,train
182359,train
170531,train
4517,train
159468,train
77254,train
54789,train
73822,train
10521,validation
51909,validation
119986,train
126675,train
34301,train
197757,train
137625,train
116500,train
11092,train
147198,validation
193009,train
65543,train
168354,train
143401,train
87363,train
90123,train
110361,train
42189,train
106501,train
87134,train
138552,train
182270,train
158916,train
107755,train
175734,train
184325,train
45488,validation
49761,train
158755,validation
161844,train
5163,train
191892,validation
153213,validation
21729,train
164720,train
161023,train
42940,validation
191464,train
46670,train
13924,train
14312,train
24266,train
167269,train
171792,train
169294,train
86196,train
107315,train
128909,validation
77415,train
106287,validation
182597,train
149158,validation
19570,train
82635,train
190581,train
119278,train
50871,validation
188456,train
108832,train
119016,train
6846,train
19230,train
145554,validation
132817,train
63649,validation
176793,validation
147791,train
193082,train
27481,train
43567,train
41670,train
47720,train
169885,validation
164446,train
17920,train
83639,validation
111624,train
48845,train
105381,train
79159,validation
57178,train
192782,train
16785,train
46125,validation
197864,train
101099,validation
163155,validation
19330,train
78744,train
36868,train
498,train
153259,validation
175780,validation
89978,train
49487,train
121752,validation
162908,train
103774,train
175430,train
183237,train
122811,train
183748,train
122693,train
100729,validation
27249,train
101096,train
178339,validation
138074,validation
12077,train
181493,validation
56557,train
61256,train
99342,validation
68153,validation
82972,train
87977,validation
28866,train
45841,train
86547,train
24155,train
129487,train
90569,train
139710,train
90254,train
130153,train
138491,train
16046,train
40460,validation
47946,train
109569,train
30751,train
195211,validation
144615,train
110752,train
133509,validation
106669,train
2969,validation
53728,validation
53273,train
143368,train
71700,validation
39637,train
4392,train
132313,train
15491,train
182213,validation
98233,train
133109,train
86911,train
165608,train
56994,train
143271,train
17936,train
6195,train
27156,train
125678,train
166738,validation
194879,train
142286,validation
114874,train
94377,train
46236,train
79729,train
130051,validation
133138,train
174163,validation
28056,validation
191556,train
161797,train
44165,train
864,validation
51958,train
198280,train
52762,train
79428,train
75430,train
195054,train
104552,train
156695,train
146001,train
159862,train
96188,train
104857,validation
156331,train
143810,train
162789,train
175335,train
102836,train
59614,validation
18376,train
51595,train
94651,train
96053,train
40612,train
169128,train
39507,validation
141216,train
184913,train
176942,train
66581,train
158746,train
111459,validation
79605,validation
145975,train
182554,train
85956,train
74389,train
100419,validation
83691,train
99087,train
193340,train
5362,train
78593,train
85086,train
90759,train
99148,train
101560,train
135608,train
170515,train
32160,validation
115584,train
149671,train
198189,train
15965,train
28465,train
193047,train
104645,train
7642,train
145761,validation
23510,train
167957,train
156197,train
167033,validation
136931,train
184423,train
75685,validation
171903,train
197456,train
54207,train
85505,train
11722,validation
14845,train
30946,validation
92899,train
111692,validation
182458,train
141950,train
95790,train
258,train
23278,train
167679,train
139999,train
25980,train
7130,validation
120955,train
45567,train
103526,train
113645,train
157898,validation
53392,validation
139014,train
131594,train
122231,train
77234,train
167115,train
61736,train
15060,validation
165490,train
47464,train
133930,train
163496,train
121359,validation
152954,train
59587,train
46755,validation
149922,train
95385,validation
75086,train
125131,validation
37237,train
36270,validation
84260,train
27256,validation
127491,train
985,train
38006,train
1374,train
102419,train
138506,train
188848,train
7701,validation
39854,train
11506,train
75615,train
28332,validation
121153,validation
170348,train
126598,validation
87912,train
165505,validation
142901,validation
36705,train
115976,train
97083,train
52288,train
25521,train
54164,train
114928,train
138724,train
83418,validation
105707,train
1850,train
43686,validation
177380,train
170598,train
100957,train
9846,validation
153780,train
132730,train
17089,train
56408,train
171262,train
45114,train
161724,validation
198281,validation
141825,train
112262,train
5731,train
53664,train
79769,validation
150573,train
12277,train
77652,train
138672,train
153153,validation
79693,train
190254,train
5688,train
36386,train
7385,train
21038,validation
115027,train
26473,train
135680,train
16770,train
95785,train
127430,train
23914,validation
61603,train
179026,train
57096,train
58780,validation
174580,train
140107,train
158431,train
119759,validation
10005,train
137878,validation
37293,train
80961,train
100645,train
199822,train
35780,validation
166424,train
163645,train
35391,train
164190,train
106706,train
148508,validation
145237,train
120739,train
181312,train
155358,train
39659,validation
74336,train
7013,train
112016,train
24774,train
105965,train
21105,validation
154798,validation
199216,train
126743,validation
180961,train
94943,train
37951,train
43769,train
71146,validation
169309,validation
35885,train
40818,validation
188559,train
188039,train
98324,validation
139783,train
17674,train
182924,train
6867,train
79075,train
92626,train
61913,train
42927,train
55298,train
17314,train
65418,train
66061,train
43739,train
81025,train
119433,train
185951,train
11014,train
188944,train
105821,train
118892,train
31151,train
187108,train
24195,train
103938,train
150626,train
90688,train
30217,train
51142,train
130088,train
171814,train
78684,train
150010,train
155046,train
57354,train
75755,train
194274,validation
196594,validation
164777,train
142306,train
4691,train
71167,train
46707,train
100764,train
117971,train
74363,train
40950,train
158226,train
158765,train
56277,train
8387,train
30873,train
29076,train
43278,train
20238,train
652,train
177176,train
114017,train
43583,train
189877,train
54012,validation
47687,train
96896,train
196301,validation
45581,train
68008,train
54815,validation
145728,validation
14465,train
132583,train
135674,train
74333,train
78685,train
1236,train
135732,train
140323,train
151245,train
156372,train
133421,train
132484,train
18442,train
21891,train
15536,train
91135,validation
87585,train
107736,train
60512,train
130064,validation
31121,train
47292,validation
193802,train
119773,validation
61869,validation
16532,validation
20401,train
139239,train
95767,train
20341,train
6579,validation
125472,train
62705,validation
171507,train
152638,train
130324,validation
26331,train
120644,train
183145,train
51080,train
179046,train
131524,validation
72814,train
166162,train
69486,train
45906,train
90784,train
22537,validation
102024,validation
62654,train
535,train
68885,validation
49812,validation
40983,train
91059,train
155805,train
135731,train
157842,train
167546,train
115764,train
157086,train
79759,train
95175,train
195842,train
22969,train
184725,train
197218,train
158356,train
108960,train
171150,train
145290,train
10954,train
193772,train
8359,train
113005,train
46600,train
115186,train
16678,train
56013,train
62930,train
52980,train
168112,validation
198461,train
37310,train
134684,train
195251,train
56116,train
22218,validation
186625,train
28826,validation
155480,train
181622,train
143422,train
103534,train
170640,train
130787,train
111462,train
115387,train
38772,train
184253,train
52254,train
128563,train
123602,validation
67826,train
131517,validation
140005,train
3046,train
69882,train
163272,train
5068,train
183437,train
8937,train
187869,train
84507,train
90330,train
185824,train
108183,train
163769,validation
178502,train
194865,validation
139894,train
83158,train
146676,train
144031,train
71306,validation
104270,train
176924,train
97313,train
68933,train
112505,train
171046,train
167502,train
122955,train
9514,validation
76489,train
79554,train
169113,train
21933,train
13750,train
56990,train
30064,train
61064,validation
183631,train
145815,train
111137,train
98749,validation
2738,validation
38229,train
99799,train
15241,train
78754,train
60095,train
93024,train
27034,train
122310,train
189301,train
16097,train
160886,train
134131,train
87124,train
72658,train
174813,train
10082,train
118506,validation
49206,train
182355,train
178205,train
183,validation
65286,train
32716,train
190977,validation
168741,train
118774,train
186022,train
133633,train
58018,train
136384,train
34782,validation
122297,train
8260,train
149930,validation
160221,train
160860,train
69233,train
144748,train
178982,validation
61929,train
193550,validation
192930,train
169322,train
81501,train
52018,validation
180627,train
124974,validation
24970,train
164719,train
51941,validation
142269,train
157637,validation
174218,train
117139,validation
3552,train
40019,train
96597,train
13700,train
53499,train
125301,train
106546,train
174833,train
28916,train
143550,validation
181455,train
133864,train
164548,train
7765,train
123276,train
137088,train
22860,train
19029,train
192193,train
177232,train
25009,train
4813,train
196241,train
65610,train
90343,train
159463,train
58924,train
183106,train
88256,train
147060,train
15125,train
45953,train
52907,train
174724,train
149653,train
27353,train
69699,train
161029,train
86045,train
114274,train
29266,train
81920,train
27199,train
165832,train
79010,train
46943,train
140958,train
5056,train
9186,train
197065,validation
119464,train
30322,train
55245,train
182370,train
7343,train
118639,validation
22197,train
196893,train
74538,train
16276,validation
87309,train
177919,train
32171,train
123193,validation
149139,train
190418,train
27052,validation
67812,train
87412,train
174423,train
86240,train
86094,train
199672,validation
36754,train
118791,train
64800,train
12468,train
107638,train
174466,validation
15009,train
141345,train
94482,train
167788,train
5971,train
136708,validation
96071,train
180420,train
46723,train
173041,train
170659,validation
128215,validation
153073,train
163022,train
3264,train
194675,validation
80046,train
103509,train
105183,train
102306,train
25387,train
7354,validation
118255,validation
130453,train
87944,train
176347,train
171019,validation
115667,validation
127362,train
113231,validation
102609,train
106404,validation
141629,train
136818,train
37926,train
167483,validation
71148,train
28199,train
78276,train
161212,validation
10051,train
126329,train
113851,train
143526,train
100919,train
24537,train
173408,train
131570,train
112102,validation
29558,validation
91681,train
68592,train
15814,train
2271,train
100940,train
68847,validation
180058,train
2124,train
34702,train
132465,train
73749,train
20567,train
76227,train
21826,train
35492,train
16627,train
165630,train
176182,train
114469,train
128457,validation
1669,train
31832,train
29355,train
48035,train
138670,train
100486,train
190920,train
24218,train
93190,train
198787,validation
18975,train
45616,train
49964,train
110196,train
92606,train
32549,train
123024,train
49520,train
97855,train
178793,train
154337,train
111944,train
165513,train
116966,train
9097,train
83408,train
105797,train
174658,validation
41399,train
32601,train
70510,train
34642,train
124549,train
23974,train
57538,train
16667,train
117231,train
4984,validation
164043,train
137848,train
135060,train
47848,train
32538,train
24561,train
22086,train
96207,train
101253,train
27027,train
65326,train
77947,train
46012,train
123547,train
124908,train
177278,train
68106,train
137238,validation
164201,train
6992,train
67094,train
67079,train
57312,train
112319,train
7802,train
112585,train
30359,validation
100989,validation
3355,train
152250,train
128881,train
123075,train
1844,train
105109,train
105075,train
120433,train
193358,train
78331,train
29951,train
81776,validation
22019,train
86153,train
13927,train
40785,train
54225,validation
180522,train
174928,train
68569,train
45756,train
141759,train
109803,train
46700,train
177254,train
151379,train
180335,train
57776,validation
182478,train
91339,train
186300,train
14386,train
77837,train
171833,train
79112,train
63376,train
159159,train
18085,train
54400,train
135436,train
81434,train
105037,train
135874,validation
142117,train
20650,train
156364,train
65823,train
10548,train
169565,train
10230,train
89943,train
56582,train
92602,train
63962,train
22846,train
64787,train
118793,train
3447,train
135273,train
26523,train
59835,train
40487,train
108688,validation
127032,train
178104,train
18187,train
116361,validation
96310,train
134769,train
150526,train
23099,validation
177681,train
22415,train
19738,validation
116138,train
37001,train
60149,train
173100,train
37402,train
37375,validation
95063,train
138266,train
37403,train
98702,train
2931,train
121344,train
1967,train
21875,validation
45885,train
126170,train
195269,train
198508,train
44227,validation
132464,validation
181645,train
105148,validation
84895,train
102409,train
154948,train
10245,train
30333,train
171355,train
187899,train
121639,train
160458,train
39829,validation
87515,train
142982,train
150761,train
14002,train
16558,validation
62517,train
57805,train
92352,train
3078,train
152678,train
3458,validation
180720,train
86266,train
41803,validation
68669,validation
59490,train
126682,validation
38930,train
127705,train
18863,train
186521,train
22229,train
49879,train
62637,train
323,validation
106346,validation
139794,validation
34932,train
41468,train
178375,train
30268,train
160743,validation
32383,train
30215,train
124632,validation
146096,train
111795,train
150430,validation
29378,train
101266,train
127184,validation
48824,validation
129818,train
181431,train
118456,train
152495,train
61233,train
148035,train
103083,validation
53022,train
6681,train
188912,train
116383,validation
185719,train
197955,train
128257,train
29053,validation
58786,train
185428,train
115062,validation
78911,train
74124,train
101026,train
18072,train
29431,train
77409,train
12921,train
145867,train
189441,train
173581,validation
99439,train
156743,train
82687,train
171134,train
57025,train
19946,train
80846,train
104156,train
15187,train
86261,train
70220,train
71837,train
172461,train
192892,train
78737,train
136484,train
119750,train
25296,train
98467,validation
21060,train
17186,train
96478,train
55944,train
135145,train
180935,validation
94574,validation
128875,train
159805,train
13540,validation
151213,train
180912,validation
196175,validation
104980,train
113169,train
142234,train
10575,train
172540,train
22317,validation
62466,train
161779,validation
4048,validation
42333,train
137035,validation
186043,train
44785,train
56433,validation
99529,validation
88197,train
96714,train
155521,train
194607,train
126582,train
175502,train
147239,train
103054,train
98720,train
180299,train
82607,train
127997,train
86695,train
193807,train
163075,train
5745,train
177053,train
158868,train
75359,train
104902,train
53382,train
147027,validation
165548,validation
70356,train
150321,train
48521,train
67060,train
172389,train
125707,train
129963,train
98034,validation
56609,train
76744,train
80182,train
46549,train
51773,validation
112914,validation
38219,train
127727,train
11204,train
90856,train
23107,validation
104619,validation
13896,validation
87560,train
67101,validation
55740,train
164710,train
121942,train
106388,train
6755,validation
100622,train
39760,train
22567,train
66183,train
15000,validation
7769,train
16873,train
10867,train
99363,train
105572,train
81925,train
145657,train
87400,train
37246,train
165760,train
39230,train
16966,train
3246,train
177382,validation
35201,train
63266,train
166952,train
127566,train
108152,train
108308,train
41108,train
47294,validation
148294,validation
132818,train
86163,train
27659,validation
69402,train
134958,train
25023,train
5742,train
63644,train
1588,train
67282,train
37287,validation
88569,validation
32174,train
196804,train
134194,train
20315,train
182123,train
167905,validation
125596,validation
142886,train
90713,train
64822,validation
97946,train
142238,train
12916,train
68786,train
90788,validation
89408,train
80908,train
18930,validation
143076,validation
175302,validation
27327,train
32147,train
76770,train
59547,train
15264,train
353,train
156990,train
125648,validation
39864,validation
197239,validation
129691,train
179155,train
46383,train
1939,train
38689,train
89507,validation
15361,train
60656,validation
108648,train
13270,validation
183093,train
57358,validation
4320,validation
130137,train
60792,train
38152,train
190560,validation
38244,validation
72612,train
90482,validation
199432,train
139375,train
142866,validation
27345,train
49083,train
6158,train
20580,train
153947,validation
69708,validation
70082,train
33354,train
63621,train
180952,train
154968,train
132947,train
59962,train
52131,train
168466,train
174238,validation
142092,train
63097,validation
146558,train
163869,train
34691,train
151218,train
11250,train
94481,validation
184034,train
98592,train
185449,validation
56425,validation
20324,validation
142861,train
123271,train
7923,train
34197,train
183280,train
171745,train
70608,train
105489,train
92892,validation
165300,validation
93324,train
199468,train
12361,validation
123272,validation
155290,train
65902,train
148450,train
194526,train
94171,train
76527,train
137762,train
1213,train
196947,train
11407,train
177056,train
116762,validation
172633,train
100186,validation
172744,validation
128522,validation
167854,train
19105,train
152809,train
125308,train
105817,train
196297,validation
196419,train
195712,train
181343,validation
62551,train
124815,validation
189912,train
108397,train
88591,validation
95738,train
35089,train
64409,validation
183735,train
110140,train
16819,train
182499,train
18435,train
192762,train
144236,train
121301,validation
123137,train
33826,train
60528,train
112233,train
48908,train
28151,train
107727,train
137261,train
130342,train
188914,validation
91490,validation
113265,train
88340,validation
90308,train
35308,train
140895,train
192649,train
114076,train
139928,validation
12722,validation
152682,train
105969,validation
53566,train
96483,validation
163141,validation
158450,train
111735,train
137351,train
104086,train
137354,validation
22297,train
99373,validation
147729,validation
86526,train
133132,train
150374,train
18852,train
18724,train
99496,train
59693,train
79521,train
196298,train
95893,train
195574,train
162281,train
136424,train
145102,train
184668,validation
107284,train
23611,train
105133,validation
187784,train
115863,train
63959,train
144737,train
120282,train
105205,validation
33455,train
40960,train
25475,train
42527,train
188741,train
187890,train
5041,train
1786,train
92355,validation
166212,train
73515,train
73095,train
94193,train
175121,train
28061,train
153485,train
54833,train
134660,train
167605,validation
42660,validation
177570,validation
13124,train
62665,train
30892,train
194014,train
151992,train
36913,train
1972,validation
68129,train
198179,validation
34798,train
87997,train
109730,train
188333,train
124572,train
102312,train
31957,validation
155347,train
16468,validation
199570,validation
90271,validation
28733,validation
184076,train
102003,train
199442,train
66712,train
45555,train
135224,validation
159658,train
52582,train
70536,train
166445,train
194531,validation
161716,train
38188,train
114582,validation
78960,train
1719,train
18491,train
63367,train
175648,train
76564,train
156317,train
22459,train
180297,train
32400,validation
23130,train
142153,validation
93306,train
71577,validation
80398,train
180930,validation
355,validation
124711,train
73146,train
1365,validation
152856,train
10209,train
102650,train
120116,train
30416,train
52672,validation
65431,train
162703,train
129342,train
199688,train
106067,train
140444,train
52579,train
86346,train
17302,train
119911,train
158762,train
126824,train
35402,train
107095,train
156481,train
49778,train
60718,train
137044,train
13490,train
118011,train
31804,train
44588,train
182992,train
71933,train
83350,train
170605,validation
24304,train
378,train
114677,train
193315,train
123742,train
279,validation
135703,train
41637,train
81375,train
126712,validation
72506,train
83347,train
64440,train
100271,train
59638,train
99351,train
74630,train
59501,train
121534,train
190747,train
57388,train
48352,train
15786,validation
81062,train
133,train
145045,validation
198429,train
179729,train
94837,train
54530,train
72875,train
63869,train
151626,validation
126505,train
101396,train
2874,train
46634,validation
32537,train
156482,train
124730,train
56587,validation
126294,train
35684,validation
40328,train
75582,train
159360,train
38943,train
49556,validation
87848,train
184575,train
32741,validation
183305,train
157382,train
191985,train
82739,train
36008,validation
25677,train
98687,train
197483,train
192449,train
196376,train
32478,validation
159586,train
93101,train
94866,train
43309,validation
127756,train
3400,train
78891,train
35536,train
164958,train
138902,train
137750,train
187022,train
120080,train
121872,train
10665,train
179981,validation
111946,train
140375,validation
20798,train
172915,train
124423,train
177984,train
162169,validation
136072,train
22706,train
79170,train
91820,train
121102,train
41932,train
191354,train
56270,train
57643,train
190449,train
115844,train
190059,train
49063,train
79195,train
52217,train
43877,validation
171182,train
153312,validation
65133,validation
16196,validation
119376,train
86819,train
29913,train
51787,train
77486,train
